,pesticide,genotype,rep,dose,alive,dead,total,percent_survival,percent_mortality,stage,date,conditions
156,imi-olefin,mdr65ko,1,0.92,1,49,50,0.02,0.98,1st_instar,05/05/17,25d_hoff
157,imi-olefin,mdr65ko,2,0.92,1,49,50,0.02,0.98,1st_instar,05/05/17,25d_hoff
158,imi-olefin,mdr65ko,3,0.92,0,50,50,0,1,1st_instar,05/05/17,25d_hoff
159,imi-olefin,mdr65ko,4,0.92,0,50,50,0,1,1st_instar,05/05/17,25d_hoff
160,imi-olefin,mdr65ko,5,0.92,0,50,50,0,1,1st_instar,05/05/17,25d_hoff
376,imi-olefin,mdr65ko,1,0.8,31,19,50,0.62,0.38,L1,7.3.16,25d_Hoff
377,imi-olefin,mdr65ko,2,0.8,3,47,50,0.06,0.94,L1,7.3.16,25d_Hoff
378,imi-olefin,mdr65ko,3,0.8,23,27,50,0.46,0.54,L1,7.3.16,25d_Hoff
379,imi-olefin,mdr65ko,4,0.8,4,46,50,0.08,0.92,L1,7.3.16,25d_Hoff
380,imi-olefin,mdr65ko,5,0.8,14,36,50,0.28,0.72,L1,7.3.16,25d_Hoff
396,imi-olefin,mdr65ko,1,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
397,imi-olefin,mdr65ko,2,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
398,imi-olefin,mdr65ko,3,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
399,imi-olefin,mdr65ko,4,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
400,imi-olefin,mdr65ko,5,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
141,imi-olefin,wxac,1,0.92,4,46,50,0.08,0.92,1st_instar,05/05/17,25d_hoff
142,imi-olefin,wxac,2,0.92,6,44,50,0.12,0.88,1st_instar,05/05/17,25d_hoff
143,imi-olefin,wxac,3,0.92,5,45,50,0.1,0.9,1st_instar,05/05/17,25d_hoff
144,imi-olefin,wxac,4,0.92,5,45,50,0.1,0.9,1st_instar,05/05/17,25d_hoff
145,imi-olefin,wxac,5,0.92,7,43,50,0.14,0.86,1st_instar,05/05/17,25d_hoff
361,imi-olefin,wxac,1,0.8,24,26,50,0.48,0.52,L1,7.3.16,25d_Hoff
362,imi-olefin,wxac,2,0.8,37,13,50,0.74,0.26,L1,7.3.16,25d_Hoff
363,imi-olefin,wxac,3,0.8,36,14,50,0.72,0.28,L1,7.3.16,25d_Hoff
364,imi-olefin,wxac,4,0.8,38,12,50,0.76,0.24,L1,7.3.16,25d_Hoff
365,imi-olefin,wxac,5,0.8,28,22,50,0.56,0.44,L1,7.3.16,25d_Hoff
381,imi-olefin,wxac,1,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
382,imi-olefin,wxac,2,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
383,imi-olefin,wxac,3,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
384,imi-olefin,wxac,4,0,39,11,50,0.78,0.22,L1,7.3.16,25d_Hoff
385,imi-olefin,wxac,5,0,46,4,50,0.92,0.08,L1,7.3.16,25d_Hoff
101,imi-5-oh,wxac,1,1.5,15,35,50,0.3,0.7,1st_instar,05/05/17,25d_hoff
102,imi-5-oh,wxac,2,1.5,14,36,50,0.28,0.72,1st_instar,05/05/17,25d_hoff
103,imi-5-oh,wxac,3,1.5,19,31,50,0.38,0.62,1st_instar,05/05/17,25d_hoff
104,imi-5-oh,wxac,4,1.5,16,34,50,0.32,0.68,1st_instar,05/05/17,25d_hoff
105,imi-5-oh,wxac,5,1.5,12,38,50,0.24,0.76,1st_instar,05/05/17,25d_hoff
116,imi-5-oh,mdr65ko,1,1.5,0,50,50,0,1,1st_instar,05/05/17,25d_hoff
117,imi-5-oh,mdr65ko,2,1.5,1,49,50,0.02,0.98,1st_instar,05/05/17,25d_hoff
118,imi-5-oh,mdr65ko,3,1.5,0,50,50,0,1,1st_instar,05/05/17,25d_hoff
119,imi-5-oh,mdr65ko,4,1.5,1,49,50,0.02,0.98,1st_instar,05/05/17,25d_hoff
120,imi-5-oh,mdr65ko,5,1.5,2,48,50,0.04,0.96,1st_instar,05/05/17,25d_hoff
121,imi-5-oh,wxac,1,0,49,1,50,0.98,0.02,1st_instar,05/05/17,25d_hoff
122,imi-5-oh,wxac,2,0,48,2,50,0.96,0.04,1st_instar,05/05/17,25d_hoff
123,imi-5-oh,wxac,3,0,48,2,50,0.96,0.04,1st_instar,05/05/17,25d_hoff
124,imi-5-oh,wxac,4,0,44,6,50,0.88,0.12,1st_instar,05/05/17,25d_hoff
125,imi-5-oh,wxac,5,0,46,4,50,0.92,0.08,1st_instar,05/05/17,25d_hoff
136,imi-5-oh,mdr65ko,1,0,44,6,50,0.88,0.12,1st_instar,05/05/17,25d_hoff
137,imi-5-oh,mdr65ko,2,0,41,9,50,0.82,0.18,1st_instar,05/05/17,25d_hoff
138,imi-5-oh,mdr65ko,3,0,43,7,50,0.86,0.14,1st_instar,05/05/17,25d_hoff
139,imi-5-oh,mdr65ko,4,0,44,6,50,0.88,0.12,1st_instar,05/05/17,25d_hoff
140,imi-5-oh,mdr65ko,5,0,47,3,50,0.94,0.06,1st_instar,05/05/17,25d_hoff
